element,valence shell,r0,sigma,E_d,E_p,E_s,Ud,Up,Us
H,1s1,1.6,2.2,0,0,-0.238603,0,0,0.42
He,1s2,1.4,11.4,0,0,-0.579318,0,0,0.74
Li,2s1 2p0,5,8.2,0,-0.040054,-0.105624,0,0.13,0.17
Be,2s2 2p0,3.4,13.2,0,-0.074172,-0.206152,0,0.22,0.27
B,2s2 2p1,3,10.4,0,-0.132547,-0.347026,0,0.3,0.33
C,2s2 2p2,3.2,8.2,0,-0.194236,-0.505337,0,0.36,0.4
N,2s2 2p3,3.4,13.4,0,-0.260544,-0.682915,0,0.43,0.46
O,2s2 2p4,3.1,12.4,0,-0.331865,-0.880592,0,0.5,0.53
F,2s2 2p5,2.7,10.6,0,-0.408337,-1.098828,0,0.56,0.59
Ne,2s2 2p6,3.2,15.4,0,-0.490009,-1.33793,0,0.62,0.66
Na,3s1 3p0,5.9,12.6,0,-0.02732,-0.100836,0,0.09,0.17
Mg,3s2 3p0,5,6.2,0,-0.048877,-0.172918,0,0.15,0.22
Al,3s2 3p1 3d0,5.9,12.4,0.12,-0.099666,-0.284903,0.19,0.2,0.26
Si,3s2 3p2 3d0,4.4,12.8,0.11,-0.149976,-0.397349,0.2,0.25,0.3
P,3s2 3p3 3d0,4,9.6,0.12,-0.202363,-0.513346,0.21,0.29,0.34
S,3s2 3p4 3d0,3.9,4.6,0.13,-0.257553,-0.634144,0.21,0.33,0.38
Cl,3s2 3p5 3d0,3.8,9,0.15,-0.315848,-0.760399,0.21,0.37,0.41
Ar,3s2 3p6 3d0,4.5,15.2,0.17,-0.377389,-0.892514,0.21,0.4,0.45
K,3d0 4s1 4p0,6.5,15.8,0.03,-0.029573,-0.085219,0.17,0.08,0.14
Ca,3d0 4s2 4p0,4.9,13.6,-0.070887,-0.051543,-0.138404,0.3,0.13,0.18
Sc,3d1 4s2 4p0,5.1,13.6,-0.118911,-0.053913,-0.153708,0.32,0.14,0.19
Ti,3d2 4s2 4p0,4.2,12,-0.156603,-0.053877,-0.164133,0.35,0.14,0.2
V,3d3 4s2 4p0,4.3,13,-0.189894,-0.053055,-0.172774,0.38,0.15,0.21
Cr,3d5 4s1 4p0,4.7,3.6,-0.107113,-0.036319,-0.147221,0.31,0.12,0.2
Mn,3d5 4s2 4p0,3.6,11.6,-0.248949,-0.050354,-0.187649,0.42,0.16,0.23
Fe,3d6 4s2 4p0,3.7,11.2,-0.275927,-0.048699,-0.19444,0.44,0.16,0.24
Co,3d7 4s2 4p0,3.3,11,-0.301635,-0.046909,-0.200975,0.46,0.16,0.25
Ni,3d9 4s1 4p0,3.7,2.2,-0.170792,-0.027659,-0.165046,0.4,0.11,0.24
Cu,3d10 4s1 4p0,5.2,2.2,-0.185263,-0.025621,-0.169347,0.42,0.1,0.24
Zn,3d10 4s2 4p0,4.6,2.2,-0.372826,-0.040997,-0.219658,0.52,0.15,0.27
Ga,4s2 4p1 4d0,5.9,8.8,0.04,-0.094773,-0.328789,0.05,0.21,0.28
Ge,4s2 4p2 4d0,4.5,13.4,0.06,-0.143136,-0.431044,0.1,0.24,0.3
As,4s2 4p3 4d0,4.4,5.6,0.08,-0.190887,-0.532564,0.13,0.27,0.33
Se,4s2 4p4 4d0,4.5,3.8,0.1,-0.239256,-0.635202,0.17,0.3,0.36
Br,4s2 4p5 4d0,4.3,6.4,0.13,-0.288792,-0.73982,0.19,0.33,0.38
Kr,4s2 4p6 4d0,4.8,15.6,0.14,-0.339778,-0.846921,0.2,0.35,0.4
Rb,4d0 5s1 5p0,9.1,16.8,0.03,-0.027523,-0.081999,0.18,0.07,0.13
Sr,4d0 5s2 5p0,6.9,14.8,-0.041363,-0.047197,−0.129570,0.23,0.12,0.16
Y,4d1 5s2 5p0,5.7,13.6,-0.092562,-0.052925,-0.150723,0.24,0.13,0.18
Zr,4d2 5s2 5p0,5.2,14,-0.13238,-0.053976,-0.163093,0.27,0.14,0.19
Nb,4d3 5s2 5p0,5.2,15,-0.170468,-0.053629,-0.172061,0.29,0.14,0.2
Mo,4d4 5s2 5p0,4.3,11.6,-0.207857,-0.052675,-0.179215,0.32,0.15,0.21
Tc,4d5 5s2 5p0,4.1,12,-0.244973,-0.051408,-0.18526,0.34,0.15,0.22
Ru,4d7 5s1 5p0,4.1,3.8,-0.191289,-0.033507,-0.155713,0.33,0.12,0.21
Rh,4d8 5s1 5p0,4,3.4,-0.218418,-0.031248,-0.157939,0.35,0.11,0.22
Pd,4d9 5s1 5p0,4.4,2.8,-0.245882,-0.0291,-0.159936,0.37,0.11,0.23
Ag,4d10 5s1 5p0,6.5,2,-0.273681,-0.027061,-0.161777,0.39,0.1,0.23
Cd,4d10 5s2 5p0,5.4,2,-0.431379,-0.043481,-0.207892,0.43,0.15,0.25
In,5s2 5p1 5d0,4.8,13.2,0.14,-0.092539,-0.30165,0.16,0.19,0.26
Sn,5s2 5p2 5d0,4.7,13.4,0.13,-0.135732,-0.387547,0.17,0.22,0.28
Sb,5s2 5p3 5d0,5.2,3,0.12,-0.177383,-0.471377,0.18,0.24,0.29
Te,5s2 5p4 5d0,5.2,3,0.11,-0.218721,-0.555062,0.2,0.26,0.31
I,5s2 5p5 5d0,6.2,2,0.11,-0.26033,-0.639523,0.21,0.28,0.33
Xe,5s2 5p6 5d0,5.2,16.2,0.11,-0.302522,-0.725297,0.21,0.3,0.35
Cs,5d0 6s1 6p0,10.6,13.6,-0.007997,-0.027142,-0.076658,0.16,0.07,0.12
Ba,5d0 6s2 6p0,7.7,12,-0.074037,-0.04568,-0.118676,0.2,0.11,0.15
La,5d1 6s2 6p0,7.4,8.6,-0.113716,-0.049659,-0.135171,0.22,0.12,0.16
Lu,5d1 6s2 6p0,5.9,16.4,-0.064434,-0.049388,-0.171078,0.22,0.13,0.19
Hf,5d2 6s2 6p0,5.2,14.8,-0.098991,-0.051266,-0.187557,0.25,0.14,0.2
Ta,5d3 6s2 6p0,4.8,13.8,-0.132163,-0.051078,-0.199813,0.27,0.14,0.21
W,5d4 6s2 6p0,4.2,8.6,-0.164874,-0.049978,-0.209733,0.29,0.14,0.22
Re,5d5 6s2 6p0,4.2,13,-0.197477,-0.048416,-0.218183,0.31,0.15,0.23
Os,5d6 6s2 6p0,4,8,-0.23014,-0.046602,-0.22564,0.33,0.15,0.24
Ir,5d7 6s2 6p0,3.9,12.6,-0.262953,-0.044644,-0.2324,0.35,0.15,0.25
Pt,5d8 6s2 6p0,3.8,12.8,-0.295967,-0.042604,-0.238659,0.36,0.14,0.26
Au,5d10 6s1 6p0,4.8,2,-0.252966,-0.028258,-0.211421,0.36,0.09,0.26
Hg,5d10 6s2 6p0,6.7,2,-0.362705,-0.038408,-0.250189,0.39,0.13,0.27
Tl,6s2 6p1 6d0,7.3,2.2,0.08,-0.087069,-0.350442,0.12,0.19,0.27
Pb,6s2 6p2 6d0,5.7,3,0.07,-0.128479,-0.442037,0.13,0.21,0.28
Bi,6s2 6p3 6d0,5.8,2.6,0.07,-0.1679,-0.531518,0.14,0.23,0.3
Po,6s2 6p4 6d0,5.5,2.2,0.08,-0.206503,-0.620946,0.16,0.25,0.31
Ra,6d0 7s2 7p0,7,14,-0.047857,-0.037077,-0.120543,0.17,0.09,0.15
Th,6d2 7s2 7p0,6.2,4.4,-0.113604,-0.045825,-0.161992,0.21,0.11,0.17
